iter	Logloss
0	0.6808757606
1	0.6695221435
2	0.6582759155
3	0.6483428416
4	0.639809213
5	0.6295509435
6	0.6201270435
7	0.6116936173
8	0.6033677854
9	0.5965033067
10	0.5891999292
11	0.5815673007
12	0.5743201844
13	0.5673649486
14	0.5611512719
15	0.5553637634
16	0.5498485774
17	0.5452375741
18	0.5406422274
19	0.5353196949
20	0.5303029541
21	0.5256845588
22	0.5214185659
23	0.5164572649
24	0.5124806371
25	0.5086857288
26	0.505184703
27	0.5022005509
28	0.498748959
29	0.4956778485
30	0.4922307225
31	0.489328755
32	0.4864765806
33	0.4838871807
34	0.4812386451
35	0.4784719405
36	0.4764377604
37	0.4742270968
38	0.4721128882
39	0.4702180264
40	0.4680832846
41	0.4661726121
42	0.4643538261
43	0.4624209777
44	0.461162134
45	0.4593855952
46	0.4573878103
47	0.4558057729
48	0.4540849305
49	0.4528031923
50	0.451168795
51	0.4494975405
52	0.4482508115
53	0.4469911978
54	0.4457797346
55	0.4443300855
56	0.4432296047
57	0.4420620828
58	0.4407643799
59	0.4397394615
60	0.4385071057
61	0.4373915843
62	0.4362990088
63	0.4353597142
64	0.4342019456
65	0.4333784073
66	0.432440088
67	0.431420611
68	0.4306207373
69	0.4297777437
70	0.4291044834
71	0.4285076068
72	0.4276805778
73	0.4270045198
74	0.4265488094
75	0.4259899194
76	0.4253993568
77	0.4245079304
78	0.4237398063
79	0.4232607393
80	0.4227571351
81	0.4220141899
82	0.4214133607
83	0.4208311654
84	0.420037657
85	0.4195686514
86	0.4189862764
87	0.4182843464
88	0.4178075638
89	0.4173652514
90	0.4167545662
91	0.4162803759
92	0.415899997
93	0.4153842268
94	0.4149954806
95	0.4146085824
96	0.4141495097
97	0.4136872801
98	0.4132588533
99	0.4128118696
100	0.4122785692
101	0.4118757833
102	0.411410448
103	0.4108802532
104	0.4105960984
105	0.4101498077
106	0.4099413436
107	0.4095385835
108	0.4091964221
109	0.4089113946
110	0.4084136424
111	0.4079516181
112	0.4076153857
113	0.4072585687
114	0.4069639163
115	0.4066341776
116	0.4062574176
117	0.4058820951
118	0.405565934
119	0.4052032137
120	0.4047975532
121	0.4044296739
122	0.4040981129
123	0.4037514599
124	0.4034530858
125	0.4031864356
126	0.4028932974
127	0.4026401478
128	0.4023779892
129	0.4021910338
130	0.4018651451
131	0.4015943625
132	0.4013568952
133	0.4010837257
134	0.4007954642
135	0.4004140843
136	0.4002419641
137	0.4000715636
138	0.3999107111
139	0.3995854127
140	0.3994082105
141	0.399125262
142	0.398781689
143	0.3985926802
144	0.398315096
145	0.3981297576
146	0.3978510697
147	0.3975059054
148	0.3972497528
149	0.3970256834
150	0.3966720235
151	0.396497465
152	0.3962407734
153	0.3959569265
154	0.3957651458
155	0.3955168471
156	0.3951371099
157	0.3948683037
158	0.3945272973
159	0.3943971677
160	0.3941905003
161	0.3940022872
162	0.3937671042
163	0.3935963444
164	0.3933876493
165	0.3931884252
166	0.3930316794
167	0.3926839227
168	0.3924777686
169	0.3921682039
170	0.3919254236
171	0.3916398057
172	0.3914305717
173	0.391208761
174	0.3910442125
175	0.390838084
176	0.3906486133
177	0.3904160483
178	0.3902204945
179	0.3899641109
180	0.3896726668
181	0.389472416
182	0.3892720369
183	0.3890378293
184	0.3888602678
185	0.3886149978
186	0.3884614859
187	0.3882398549
188	0.3880456872
189	0.3878793933
190	0.3876568639
191	0.3874885681
192	0.3872365992
193	0.3869958722
194	0.3868406663
195	0.3865179346
196	0.386362934
197	0.3861366317
198	0.3859758048
199	0.3857192159
200	0.385567013
201	0.3854005395
202	0.3852495429
203	0.3850079176
204	0.3846978395
205	0.3845597789
206	0.3844095267
207	0.3842129719
208	0.3840162118
209	0.3839144695
210	0.3836910675
211	0.383399187
212	0.3832691087
213	0.3830848739
214	0.3828726112
215	0.3827416345
216	0.3825803457
217	0.3823468567
218	0.3822606426
219	0.3820061327
220	0.3818708441
221	0.3817160745
222	0.3815401814
223	0.3813178317
224	0.3811499208
225	0.380964454
226	0.3807997258
227	0.3805827405
228	0.3803486098
229	0.3802227665
230	0.3800110171
231	0.3797207023
232	0.3794896003
233	0.3793710463
234	0.3792188178
235	0.3790587866
236	0.3788804551
237	0.3787631844
238	0.3785850069
239	0.3783866555
240	0.3783161494
241	0.3781701321
242	0.3780376925
243	0.377889006
244	0.3776878312
245	0.3775397093
246	0.3773288069
247	0.377182456
248	0.3769847206
249	0.3768529996
250	0.3766998984
251	0.3765130713
252	0.3763229588
253	0.3761454487
254	0.376045657
255	0.3759336993
256	0.3757258512
257	0.3755297328
258	0.3753934945
259	0.3752542019
260	0.3751198117
261	0.3749323172
262	0.3747363528
263	0.3745606393
264	0.3744984235
265	0.3742582868
266	0.3741090099
267	0.3739156378
268	0.3737942862
269	0.3736466006
270	0.3735584615
271	0.3734538958
272	0.3732106535
273	0.3730763146
274	0.3729955675
275	0.3728430309
276	0.3726726561
277	0.3724921943
278	0.3724146812
279	0.372234168
280	0.3720131273
281	0.3718634398
282	0.3716923206
283	0.3716101875
284	0.3713733619
285	0.3712626618
286	0.3711556322
287	0.3709542264
288	0.3708647013
289	0.3706587783
290	0.3705863728
291	0.37040722
