Job tenure,Age,Car price,Funding amount,Down payment,Loan duration,Monthly payment,Credit event,Married,Homeowner,Monthly payment to income ratio,Loan to car price ratio,Job tenure * Age,Job tenure * Monthly payment,Age * Monthly payment,Default (y),Pred_default (y_hat),PD,Group
34,55,4875,3087,0,36,0.0478947368421052,0,1,1,1.5514977920987933e-05,0.6332307692306393,1870,1.6284210526315788,2.6342105263157896,0,0,1.0490818558108702e-09,1
5,29,13000,13000,0,60,0.0916666666666666,0,0,0,7.051282051281508e-06,0.9999999999999232,145,0.4583333333333333,2.658333333333333,1,1,0.7000407233847185,0
14,38,17190,14190,0,60,0.088235294117647,0,0,0,6.218132073124796e-06,0.825479930191924,532,1.2352941176470589,3.3529411764705883,0,0,0.05284206407543666,0
16,37,22773,23568,0,48,0.1100843712334271,0,1,1,4.6709254596666e-06,1.0349097615596965,592,1.7613499397348336,4.073121735636803,0,0,6.506727234256266e-07,1
1,61,7700,8526,0,48,0.1234042553191489,0,1,0,1.4473874656243774e-05,1.1072727272725833,61,0.1234042553191489,7.527659574468084,1,0,0.136505450417798,0
17,50,10250,5750,0,48,0.1101694915254237,0,0,1,1.915991156963557e-05,0.5609756097560428,850,1.8728813559322028,5.508474576271185,0,0,1.3489567207443247e-06,0
8,45,8050,6050,0,48,0.0604347826086956,0,0,0,9.989220265898456e-06,0.7515527950309625,360,0.4834782608695652,2.7195652173913043,0,0,0.00617325536327265,0
10,51,9950,9610,0,60,0.0697435897435897,0,0,0,7.257397475919092e-06,0.965829145728546,510,0.6974358974358974,3.5569230769230766,0,0,0.0857251312751195,0
1,28,3890,4306,0,36,0.0747058823529411,1,1,0,1.7349252752653e-05,1.1069408740357052,28,0.0747058823529411,2.091764705882353,1,1,0.9999147244175884,0
1,28,10790,11954,0,84,0.1108843537414966,0,0,0,9.275920507067704e-06,1.1078776645040678,28,0.1108843537414966,3.104761904761905,1,1,0.7966526912738898,0
6,36,15589,9366,0,48,0.0858458961474036,0,1,0,9.165694655925104e-06,0.6008082622361536,216,0.5150753768844222,3.090452261306533,0,0,8.153619204791531e-06,1
3,67,15990,15487,0,48,0.06,0,0,0,3.874217085297096e-06,0.968542839274486,201,0.18,4.02,0,0,0.011025630782913645,0
2,48,13400,11800,0,96,0.1808252427184466,0,0,0,1.5324173111731463e-05,0.8805970149253074,96,0.3616504854368932,8.679611650485437,0,0,0.001759097383084452,0
5,39,25790,25901,0,60,0.091721262656343,0,1,0,3.541224765697831e-06,1.004303993796006,195,0.4586063132817153,3.5771292435973794,0,0,0.14111857085587987,0
15,53,3400,3400,0,24,0.0677272727272727,1,1,1,1.9919786096250827e-05,0.999999999999706,795,1.015909090909091,3.589545454545455,0,0,0.001049354300097633,0
1,30,18400,13169,0,36,0.5555555555555556,0,0,0,4.218661671770927e-05,0.7157065217390916,30,0.5555555555555556,16.666666666666668,0,0,0.0010945431760466969,0
5,23,24250,20594,0,48,0.1633333333333333,0,0,0,7.931112621798842e-06,0.8492371134020268,115,0.8166666666666665,3.756666666666666,0,0,1.3884598532179567e-06,0
3,22,9078,9909,0,60,0.0907692307692307,0,0,1,9.160281639844749e-06,1.091539986781109,66,0.2723076923076923,1.996923076923077,0,0,0.04442042691839146,0
0,25,15990,17302,0,60,0.1584615384615385,0,0,0,9.1585677067119e-06,1.0820512820512145,0,0.0,3.961538461538462,0,0,0.26015335980905274,0
44,60,13800,11808,0,72,0.0710204081632653,0,1,1,6.014600962335645e-06,0.8556521739129814,2640,3.1248979591836736,4.261224489795919,0,0,9.906330552273403e-07,1
0,30,6990,5433,0,60,0.0816993464052287,0,1,0,1.5037612075320027e-05,0.7772532188840089,0,0.0,2.450980392156863,1,0,0.07544751802668867,0
8,32,16120,11448,0,60,0.0544186046511627,0,0,1,4.753546877284944e-06,0.7101736972704273,256,0.4353488372093023,1.7413953488372094,0,0,0.0007740970882213042,0
26,58,14990,10690,0,72,0.11,0,0,1,1.0289990645462088e-05,0.7131420947297723,1508,2.86,6.38,0,0,7.095324057775691e-08,0
3,26,14140,4840,1,12,0.2985714285714286,0,1,1,6.168831168829895e-05,0.3422913719943181,78,0.8957142857142858,7.762857142857143,0,0,8.49770113960711e-28,0
10,61,8600,8600,0,36,0.1770034843205575,0,1,1,2.058180050238801e-05,0.9999999999998836,610,1.770034843205575,10.797212543554007,0,0,0.03176341081081707,1
4,67,2986,2986,0,12,0.1953846153846154,0,1,0,6.543356174968184e-05,0.9999999999996652,268,0.7815384615384616,13.090769230769231,0,0,0.00010898029039672325,0
44,61,19312,19312,0,72,0.1204,0,1,0,6.234465617232485e-06,0.9999999999999482,2684,5.2976,7.344399999999999,0,0,0.0004897974294414589,1
0,24,10990,10000,0,60,0.0835714285714285,0,0,0,8.357142857142021e-06,0.9099181073702538,0,0.0,2.005714285714286,0,0,0.07460809383799542,0
5,51,13600,13600,0,48,0.0244642857142857,0,1,1,1.7988445378149934e-06,0.9999999999999264,255,0.1223214285714285,1.2476785714285712,0,0,0.0005874050937155496,0
2,29,8200,7352,0,84,0.076103500761035,0,0,0,1.0351401082837955e-05,0.8965853658535492,58,0.15220700152207,2.207001522070015,0,0,0.029850990690921373,0
2,49,5950,5753,0,60,0.0891774891774891,0,1,0,1.5501041052924328e-05,0.9668907563023584,98,0.1783549783549783,4.369696969696969,0,0,0.24359090186508783,0
9,71,22830,12330,0,36,0.0666666666666666,0,1,0,5.406866720734895e-06,0.5400788436267832,639,0.6,4.733333333333333,0,0,3.2672056642492694e-13,1
4,53,14900,13500,0,72,0.1085,0,1,0,8.037037037036442e-06,0.906040268456315,212,0.434,5.7505,0,0,5.394835671910331e-05,0
14,41,16200,17569,0,60,0.0961538461538461,0,1,1,5.472926527055648e-06,1.0845061728394392,574,1.3461538461538465,3.942307692307693,0,0,0.0015165057996929983,1
4,44,9289,9289,0,48,0.071,0,0,0,7.643449241036963e-06,0.9999999999998924,176,0.284,3.124,1,1,0.9341329172049666,0
22,49,11000,10843,0,60,0.124282982791587,0,0,0,1.146204766130919e-05,0.9857272727271832,1078,2.734225621414914,6.089866156787763,0,0,0.0024762046877388746,0
16,45,24000,25792,0,96,0.1048387096774194,0,1,1,4.064776274713684e-06,1.0746666666666218,720,1.6774193548387104,4.717741935483873,1,1,0.9398379361912645,1
