Job tenure,Age,Car price,Funding amount,Down payment,Loan duration,Monthly payment,Credit event,Married,Homeowner,Monthly payment to income ratio,Loan to car price ratio,Job tenure * Age,Job tenure * Monthly payment,Age * Monthly payment,Default (y),Pred_default (y_hat),PD,Group
44,61,19312,19312,0,72,0.1204,0,1,0,6.2344656172324854e-06,0.9999999999999482,2684,5.2976,7.344399999999999,0,0,0.00033748342,1
0,24,10990,10000,0,60,0.08357142857142857,0,0,0,8.357142857142021e-06,0.9099181073702538,0,0.0,2.005714285714286,0,0,0.018268358,0
5,51,13600,13600,0,48,0.02446428571428571,0,1,1,1.7988445378149934e-06,0.9999999999999264,255,0.12232142857142855,1.2476785714285712,0,0,3.334705e-05,0
2,29,8200,7352,0,84,0.076103500761035,0,0,0,1.0351401082837955e-05,0.8965853658535492,58,0.15220700152207,2.207001522070015,0,0,0.0049257395,0
2,49,5950,5753,0,60,0.08917748917748917,0,1,0,1.5501041052924328e-05,0.9668907563023584,98,0.17835497835497835,4.369696969696969,0,0,0.0022605117,0
9,71,22830,12330,0,36,0.06666666666666667,0,1,0,5.406866720734895e-06,0.5400788436267832,639,0.6,4.733333333333333,0,0,0.00031729485,1
4,53,14900,13500,0,72,0.1085,0,1,0,8.037037037036442e-06,0.906040268456315,212,0.434,5.7505,0,0,0.0042632376,0
14,41,16200,17569,0,60,0.09615384615384616,0,1,1,5.472926527055648e-06,1.0845061728394392,574,1.3461538461538463,3.9423076923076925,0,0,0.00077699835,1
4,44,9289,9289,0,48,0.071,0,0,0,7.643449241036963e-06,0.9999999999998923,176,0.284,3.1239999999999997,1,1,0.9885556,0
22,49,11000,10843,0,60,0.124282982791587,0,0,0,1.146204766130919e-05,0.9857272727271831,1078,2.734225621414914,6.089866156787763,0,0,0.0010348832,0
16,45,24000,25792,0,96,0.1048387096774194,0,1,1,4.064776274713684e-06,1.0746666666666218,720,1.6774193548387104,4.717741935483873,1,1,0.9880356,1
25,58,18538,9273,0,60,0.05581395348837209,0,1,0,6.018974818113455e-06,0.5002157730067699,1450,1.3953488372093024,3.2372093023255815,0,0,0.0008114456,1
40,61,8400,8400,0,60,0.03422222222222222,0,1,0,4.074074074073589e-06,0.9999999999998809,2440,1.3688888888888888,2.087555555555556,0,0,0.00066956744,1
6,36,17300,20403,0,84,0.06529382219989954,0,1,1,3.2002069401507787e-06,1.1793641618496429,216,0.39176293319939726,2.3505775991963835,0,0,4.6395886e-05,1
27,56,12049,13585,0,60,0.1363636363636364,0,1,1,1.0037809080870545e-05,1.1274794588761616,1512,3.681818181818183,7.6363636363636385,0,0,0.0019496398,1
21,40,6752,6752,0,36,0.05934455270150576,0,1,1,8.789181383515546e-06,0.9999999999998518,840,1.246235606731621,2.3737821080602304,0,0,5.2772266e-05,1
4,47,6990,7700,0,72,0.09968602825745683,0,1,0,1.2946237436031673e-05,1.101573676680815,188,0.3987441130298273,4.685243328100471,0,0,0.003388904,0
15,52,27985,27985,0,72,0.1028235294117647,0,0,1,3.6742372489462577e-06,0.9999999999999643,780,1.5423529411764705,5.346823529411765,0,0,0.0020415909,0
1,47,16500,14565,0,72,0.09043478260869565,0,0,0,6.209047896236831e-06,0.8827272727272192,47,0.09043478260869565,4.2504347826086954,0,0,0.004576123,0
1,22,8500,8500,0,48,0.05555555555555555,0,0,0,6.535947712417531e-06,0.9999999999998823,22,0.05555555555555555,1.222222222222222,0,0,0.008016524,0
3,23,16250,13785,0,60,0.08555555555555555,0,0,0,6.206424051907823e-06,0.84830769230764,69,0.25666666666666665,1.9677777777777776,0,0,0.002477252,0
3,49,6166,6841,0,60,0.09333333333333334,0,1,1,1.364322954733514e-05,1.109471294193787,147,0.28,4.573333333333333,1,1,0.9878154,0
3,61,9710,9220,0,48,0.0625,0,1,0,6.778741865509026e-06,0.94953656024707,183,0.1875,3.8125,0,0,0.0020921135,0
0,30,7480,7978,0,36,0.1058823529411765,0,1,0,1.3271791544392482e-05,1.0665775401068092,0,0.0,3.176470588235295,1,0,0.024085717,0
1,19,18990,20450,0,72,0.08064516129032258,0,0,0,3.943528669453234e-06,1.0768825697735083,19,0.08064516129032258,1.532258064516129,1,1,0.9941338,0
2,22,13000,2500,1,12,0.122331217541835,0,0,0,4.8932487016714424e-05,0.1923076923076775,44,0.24466243508367,2.69128678592037,0,0,0.00070862286,0
30,58,35480,16000,0,60,0.0684964200477327,0,1,1,4.281026252983026e-06,0.45095828635849916,1740,2.054892601431981,3.9727923627684962,0,0,8.418431e-06,1
3,57,8900,4802,1,60,0.06206896551724138,0,0,0,1.2925648795757694e-05,0.5395505617976921,171,0.18620689655172412,3.5379310344827584,0,0,0.00017954355,0
1,28,6450,6404,0,36,0.1044133476856835,0,1,0,1.6304395328804996e-05,0.9928682170541095,28,0.1044133476856835,2.923573735199138,1,1,0.9791997,0
21,53,18990,18567,0,96,0.07890909090909091,0,1,1,4.24996450202438e-06,0.9777251184833609,1113,1.6570909090909092,4.182181818181818,0,0,1.1075207e-05,1
12,46,5900,5750,0,60,0.04497816593886463,0,1,1,7.822289728496835e-06,0.9745762711862754,552,0.5397379912663756,2.068995633187773,0,0,0.00022455293,1
28,52,22990,15410,1,72,0.1335294117647059,0,1,1,8.66511432606731e-06,0.6702914310569521,1456,3.738823529411765,6.943529411764707,0,0,0.00012299587,1
15,56,11801,12500,1,60,0.05958188153310105,0,0,1,4.7665505226477025e-06,1.0592322684517363,840,0.8937282229965158,3.336585365853659,0,0,4.070967e-06,0
28,48,29139,9139,1,36,0.16875,0,1,1,1.8464821096398025e-05,0.31363464772297217,1344,4.7250000000000005,8.100000000000001,0,0,2.2753187e-05,1
7,71,11490,11490,0,72,0.1247619047619048,0,1,0,1.0858303286500777e-05,0.999999999999913,497,0.8733333333333335,8.85809523809524,0,0,0.017501915,1
24,58,13500,11950,0,60,0.06265664160401002,0,0,0,5.243233607029688e-06,0.8851851851851196,1392,1.5037593984962405,3.634085213032581,0,0,0.0036857896,0
4,23,19890,16747,0,48,0.1470588235294118,0,0,0,8.781204008443483e-06,0.841980894922029,92,0.5882352941176472,3.3823529411764715,0,0,0.00040689742,0
0,65,11490,7690,0,60,0.1490236382322713,0,0,0,1.9378886636183604e-05,0.6692776327240496,0,0.0,9.686536485097635,0,0,0.0003057107,0
0,22,14900,14900,0,60,0.2,0,0,0,1.3422818791945408e-05,0.9999999999999328,0,0.0,4.4,0,0,0.01116948,0
9,36,19683,22848,0,72,0.08437892095357591,0,1,0,3.693055013724274e-06,1.1607986587409866,324,0.7594102885821832,3.0376411543287327,0,0,0.2021269,1
3,42,8899,6014,0,72,0.07615384615384616,0,0,0,1.2662761249390337e-05,0.6758062703673811,126,0.22846153846153847,3.1984615384615385,0,0,0.0016351786,0
7,27,12880,11292,0,48,0.1275,0,1,0,1.1291179596173283e-05,0.8767080745340934,189,0.8925000000000001,3.4425,0,0,2.2687665e-05,1
10,51,16900,17920,0,72,0.2092307692307692,0,1,0,1.1675824175823521e-05,1.060355029585736,510,2.092307692307692,10.67076923076923,0,0,0.003648971,1
0,53,13200,14383,0,36,0.1546153846153846,0,0,1,1.0749870306290332e-05,1.0896212121211295,0,0.0,8.194615384615384,0,0,0.0014834767,0
13,73,14950,10950,0,84,0.093125,0,1,0,8.504566210044886e-06,0.7324414715718573,949,1.210625,6.798125,0,0,0.0042394088,1
2,27,8300,8300,0,72,0.07,0,0,0,8.43373493975802e-06,0.9999999999998794,54,0.14,1.8900000000000001,0,0,0.008550877,0
1,50,17900,17900,0,60,0.1982352941176471,0,1,0,1.1074597436739441e-05,0.9999999999999442,50,0.1982352941176471,9.911764705882355,0,0,0.017140387,0
1,37,14700,7118,1,24,0.1275,0,1,1,1.7912334925538364e-05,0.48421768707479695,37,0.1275,4.7175,0,0,5.803253e-07,0
10,74,7490,2490,1,12,0.1638461538461538,0,1,1,6.580166821128032e-05,0.3324432576768581,740,1.638461538461538,12.124615384615382,0,0,0.0011222338,1
4,23,9000,8591,0,36,0.1946153846153846,0,0,0,2.2653402935090436e-05,0.9545555555554495,92,0.7784615384615384,4.476153846153846,0,0,0.00044705006,0
0,34,16700,14886,0,60,0.1756410256410256,0,0,0,1.1799074676945707e-05,0.8913772455089286,0,0.0,5.97179487179487,0,0,0.0024153236,0
3,43,26179,29248,0,96,0.1433764135702746,0,1,0,4.9020929147384335e-06,1.1172313686542221,129,0.4301292407108238,6.1651857835218085,0,1,0.64670753,0
16,63,7146,7146,0,36,0.1507142857142857,0,0,1,2.109072008316045e-05,0.99999999999986,1008,2.411428571428571,9.495,0,0,0.020015514,0
0,44,5839,6067,0,24,0.02547223812249571,0,1,0,4.198489883384129e-06,1.0390477821543005,0,0.0,1.1207784773898113,0,0,0.0031384006,0
16,38,14900,14900,0,48,0.07239130434782609,0,1,1,4.858476801867197e-06,0.9999999999999328,608,1.1582608695652175,2.7508695652173913,0,0,8.8146604e-05,1
3,53,5690,5608,0,72,0.0525,0,0,0,9.361626248215163e-06,0.9855887521966633,159,0.1575,2.7824999999999998,1,0,0.00010815904,0
4,37,28854,29000,0,72,0.1112280701754386,0,1,0,3.835450695704647e-06,1.0050599570249876,148,0.4449122807017544,4.115438596491228,1,1,0.9995098,0
14,35,17960,14960,0,48,0.1,0,0,0,6.684491978609179e-06,0.8329621380845861,490,1.4000000000000001,3.5,0,0,5.730013e-06,0
17,53,9800,9800,0,72,0.04131578947368421,0,1,1,4.215896885069387e-06,0.9999999999998979,901,0.7023684210526315,2.189736842105263,0,0,0.00235157,1
0,33,8900,7400,0,60,0.07722222222222222,0,1,0,1.0435435435434025e-05,0.8314606741572099,0,0.0,2.5483333333333333,0,0,0.0003585631,0
2,66,9500,11524,0,72,0.1521739130434783,1,0,1,1.3204956008631125e-05,1.2130526315788197,132,0.3043478260869566,10.043478260869568,1,1,0.98854417,0
8,47,9950,7950,0,48,0.04119973632168754,0,1,1,5.182356770022938e-06,0.7989949748742915,376,0.3295978905735003,1.9363876071193142,0,0,2.7860522e-06,1
39,63,15990,13142,0,72,0.07933333333333334,0,1,1,6.036625577029927e-06,0.8218886804252143,2457,3.0940000000000003,4.998,0,0,0.00012434577,1
4,46,10900,11942,0,72,0.09538461538461539,0,1,0,7.987323344884223e-06,1.0955963302751288,184,0.38153846153846155,4.387692307692308,0,0,0.00036244802,0
19,71,14850,10000,0,60,0.06,0,1,1,5.9999999999994e-06,0.673400673400628,1349,1.14,4.26,0,0,8.748422e-06,1
2,56,22129,17629,0,96,0.09545454545454546,0,1,1,5.414631882383575e-06,0.7966469338876228,112,0.19090909090909092,5.345454545454546,0,0,1.0075286e-05,0
